iter	Passed	Remaining
261	2893	8149
262	2898	8123
263	2906	8102
264	2911	8076
265	2917	8049
266	2925	8032
267	2931	8007
268	2941	7992
269	2946	7965
270	2952	7943
271	2965	7936
272	2977	7929
273	2984	7907
274	2992	7889
275	2998	7864
276	3005	7844
277	3010	7819
278	3017	7796
279	3022	7772
280	3028	7748
281	3035	7728
282	3045	7716
283	3054	7701
284	3063	7686
285	3073	7671
286	3083	7660
287	3095	7652
288	3105	7641
289	3112	7620
290	3121	7605
291	3128	7585
292	3137	7571
293	3146	7555
294	3157	7545
295	3183	7571
296	3193	7558
297	3324	7832
298	3350	7856
299	3401	7936
300	3417	7935
301	3435	7939
302	3450	7937
303	3498	8009
304	3514	8007
305	3535	8017
306	3568	8055
307	3581	8046
308	3607	8067
309	3628	8075
310	3645	8075
311	3660	8072
312	3678	8073
313	3691	8065
314	3706	8060
315	3723	8058
316	3737	8052
317	3760	8065
318	3776	8061
319	3789	8052
320	3803	8045
321	3824	8053
322	3848	8066
323	3874	8082
324	3912	8125
325	3939	8145
326	3989	8211
327	4007	8210
328	4056	8274
329	4090	8305
330	4131	8349
331	4163	8378
332	4180	8373
333	4196	8367
334	4215	8368
335	4231	8362
336	4249	8359
337	4264	8353
338	4284	8353
339	4310	8366
340	4350	8407
341	4364	8398
342	4391	8411
343	4405	8400
344	4421	8394
345	4446	8404
346	4453	8380
347	4459	8355
348	4465	8329
349	4470	8303
350	4476	8276
351	4482	8251
352	4488	8226
353	4495	8203
354	4501	8178
355	4507	8153
356	4513	8129
357	4518	8103
358	4524	8078
359	4530	8054
360	4536	8029
361	4543	8007
362	4551	7987
363	4564	7974
364	4577	7964
365	4593	7956
366	4606	7944
367	4614	7924
368	4621	7903
369	4632	7887
370	4643	7872
371	4652	7853
372	4659	7832
373	4668	7814
374	4675	7792
375	4684	7774
376	4692	7753
377	4699	7733
378	4706	7712
379	4713	7690
380	4720	7669
381	4726	7647
382	4734	7627
383	4742	7608
384	4753	7593
385	4759	7571
386	4764	7547
387	4770	7523
388	4775	7500
389	4780	7476
390	4786	7454
391	4790	7430
392	4796	7408
393	4802	7385
394	4806	7362
395	4811	7339
396	4816	7316
397	4821	7292
398	4826	7269
399	4832	7248
400	4837	7226
401	4843	7204
402	4849	7183
403	4854	7162
404	4860	7140
405	4865	7118
406	4871	7097
407	4876	7076
408	4883	7056
409	4888	7035
410	4894	7013
411	4900	6993
412	4905	6972
413	4911	6952
414	4918	6932
415	4923	6911
416	4929	6891
417	4935	6871
418	4940	6850
419	4951	6837
420	4959	6820
421	4970	6808
422	4982	6795
423	4994	6784
424	5022	6795
425	5035	6785
426	5049	6775
427	5061	6764
428	5073	6752
429	5099	6759
430	5104	6738
431	5110	6718
432	5116	6699
433	5121	6678
434	5128	6661
435	5133	6641
436	5138	6620
437	5146	6603
438	5152	6583
439	5157	6564
440	5164	6546
441	5170	6527
442	5179	6512
443	5186	6494
444	5195	6480
445	5202	6462
446	5208	6443
447	5213	6423
448	5219	6405
449	5225	6386
450	5230	6367
451	5236	6348
452	5241	6329
453	5246	6310
454	5252	6291
455	5257	6272
456	5262	6253
457	5268	6234
458	5274	6216
459	5280	6198
460	5285	6179
461	5291	6161
462	5296	6143
463	5301	6124
464	5307	6106
465	5312	6087
466	5317	6069
467	5323	6051
468	5328	6033
469	5334	6015
470	5339	5997
471	5345	5979
472	5351	5961
473	5357	5944
474	5362	5927
475	5368	5909
476	5374	5893
477	5380	5875
478	5386	5858
479	5392	5841
480	5399	5825
481	5405	5808
482	5410	5791
483	5416	5774
484	5421	5757
485	5427	5739
486	5432	5722
487	5438	5705
488	5443	5688
489	5448	5671
490	5454	5654
491	5459	5637
492	5464	5619
493	5470	5603
494	5476	5587
495	5482	5570
496	5489	5555
497	5494	5538
498	5500	5522
499	5505	5505
500	5510	5488
501	5516	5472
502	5522	5456
503	5527	5439
504	5533	5423
505	5539	5407
506	5544	5391
507	5549	5374
508	5555	5358
509	5561	5342
510	5566	5327
511	5573	5312
512	5579	5296
513	5587	5282
514	5592	5267
515	5598	5251
516	5603	5235
517	5609	5219
518	5614	5203
519	5620	5188
520	5626	5173
521	5632	5157
522	5637	5141
523	5642	5126
524	5648	5110
525	5653	5094
526	5658	5078
527	5663	5062
528	5669	5047
529	5674	5032
530	5680	5017
531	5686	5002
532	5692	4987
533	5698	4972
534	5704	4957
535	5709	4942
536	5715	4927
537	5721	4913
538	5726	4898
539	5732	4883
540	5738	4868
541	5744	4853
542	5749	4839
543	5755	4824
544	5761	4810
545	5767	4795
546	5773	4781
547	5779	4766
548	5785	4752
549	5791	4738
550	5797	4723
551	5802	4709
552	5808	4695
553	5814	4680
554	5819	4665
555	5824	4651
556	5829	4636
557	5834	4621
558	5839	4607
559	5845	4592
560	5850	4578
561	5855	4563
562	5861	4549
563	5867	4535
564	5872	4521
565	5877	4506
566	5883	4492
567	5888	4478
568	5894	4464
569	5899	4450
570	5905	4436
571	5910	4422
572	5915	4408
573	5921	4394
574	5926	4380
575	5932	4367
576	5938	4353
577	5943	4339
578	5949	4325
579	5954	4311
580	5959	4298
581	5965	4284
582	5971	4270
583	5978	4258
584	5983	4244
585	5989	4231
586	5994	4217
587	5999	4203
588	6004	4190
589	6010	4176
590	6015	4162
591	6020	4149
592	6026	4136
593	6032	4122
594	6037	4109
595	6042	4096
596	6048	4082
597	6053	4069
598	6059	4056
599	6064	4043
600	6070	4030
601	6079	4019
602	6085	4006
603	6090	3993
604	6095	3979
605	6101	3966
606	6108	3954
607	6113	3941
608	6118	3928
609	6124	3915
610	6130	3903
611	6135	3890
612	6141	3876
613	6146	3863
614	6151	3850
615	6156	3837
616	6162	3825
617	6168	3812
618	6174	3800
619	6179	3787
620	6184	3774
621	6190	3761
622	6195	3749
623	6200	3736
624	6205	3723
625	6210	3710
626	6215	3697
627	6221	3685
628	6226	3672
629	6231	3659
630	6237	3647
631	6242	3634
632	6247	3622
633	6252	3609
634	6258	3597
635	6263	3584
636	6270	3573
637	6275	3560
638	6281	3548
639	6286	3536
640	6291	3523
641	6297	3511
642	6302	3499
643	6308	3487
644	6314	3475
645	6320	3463
646	6326	3451
647	6332	3439
648	6338	3428
649	6344	3416
650	6350	3404
651	6356	3392
652	6362	3381
653	6369	3369
654	6375	3358
655	6381	3346
656	6387	3334
657	6393	3323
658	6399	3311
659	6405	3299
660	6411	3288
661	6417	3276
662	6423	3264
663	6428	3253
664	6433	3241
665	6439	3229
666	6444	3217
667	6450	3206
668	6456	3194
669	6461	3182
670	6467	3170
671	6472	3159
672	6478	3147
673	6484	3136
674	6489	3124
675	6495	3112
676	6500	3101
677	6505	3089
678	6511	3078
679	6516	3066
680	6522	3055
681	6527	3043
682	6533	3032
683	6538	3020
684	6544	3009
685	6549	2998
686	6555	2986
687	6560	2975
688	6565	2963
689	6571	2952
690	6576	2940
691	6583	2930
692	6588	2918
693	6595	2908
694	6600	2896
695	6606	2885
696	6612	2874
697	6617	2863
698	6622	2851
699	6628	2840
700	6633	2829
701	6638	2818
702	6644	2807
703	6650	2796
704	6655	2784
705	6661	2773
706	6666	2762
707	6671	2751
708	6678	2741
709	6683	2729
710	6688	2718
711	6694	2707
712	6699	2696
713	6705	2685
714	6710	2674
715	6715	2663
716	6720	2652
717	6726	2641
718	6731	2630
719	6736	2619
720	6741	2608
721	6746	2597
722	6751	2586
723	6757	2575
724	6762	2565
725	6767	2554
726	6774	2543
727	6779	2533
728	6785	2522
729	6790	2511
730	6796	2500
731	6801	2490
732	6807	2479
733	6812	2468
734	6818	2458
735	6824	2447
736	6829	2437
737	6835	2426
738	6840	2416
739	6846	2405
740	6851	2394
741	6856	2384
742	6862	2373
743	6868	2363
744	6875	2353
745	6880	2342
746	6886	2332
747	6892	2322
748	6897	2311
749	6903	2301
750	6908	2290
751	6914	2280
752	6919	2269
753	6924	2259
754	6930	2248
755	6936	2238
756	6942	2228
757	6947	2218
758	6953	2207
759	6958	2197
760	6964	2187
761	6970	2177
762	6976	2166
763	6981	2156
764	6987	2146
765	6993	2136
766	6999	2126
767	7004	2115
768	7009	2105
769	7014	2095
770	7020	2085
771	7025	2074
772	7030	2064
773	7035	2054
774	7041	2044
775	7046	2034
776	7052	2024
777	7058	2014
778	7065	2004
779	7071	1994
780	7076	1984
781	7082	1974
782	7088	1964
783	7093	1954
784	7099	1944
785	7108	1935
786	7116	1926
787	7124	1916
788	7130	1906
789	7135	1896
790	7140	1886
791	7146	1876
792	7151	1866
793	7157	1856
794	7162	1847
795	7169	1837
796	7174	1827
797	7180	1817
798	7186	1807
799	7191	1797
800	7197	1788
801	7202	1778
802	7207	1768
803	7214	1758
804	7219	1748
805	7225	1739
806	7230	1729
807	7236	1719
808	7241	1709
809	7247	1700
810	7252	1690
811	7258	1680
812	7265	1671
813	7270	1661
814	7276	1651
815	7281	1641
816	7286	1632
817	7292	1622
818	7297	1612
819	7302	1603
820	7309	1593
821	7315	1584
822	7320	1574
823	7325	1564
824	7331	1555
825	7336	1545
826	7342	1535
827	7347	1526
828	7353	1516
829	7358	1507
830	7365	1497
831	7370	1488
832	7375	1478
833	7381	1469
834	7387	1459
835	7392	1450
836	7397	1440
837	7403	1431
838	7410	1421
839	7415	1412
840	7421	1403
841	7427	1393
842	7433	1384
843	7440	1375
844	7446	1365
845	7452	1356
846	7458	1347
847	7464	1337
848	7470	1328
849	7478	1319
850	7484	1310
851	7490	1301
852	7495	1291
853	7502	1282
854	7508	1273
855	7514	1264
856	7520	1254
857	7525	1245
858	7531	1236
859	7536	1226
860	7542	1217
861	7548	1208
862	7553	1199
863	7559	1189
864	7565	1180
865	7571	1171
866	7577	1162
867	7583	1153
868	7590	1144
869	7595	1135
870	7601	1125
871	7606	1116
872	7612	1107
873	7617	1098
874	7623	1089
875	7629	1079
876	7634	1070
877	7640	1061
878	7645	1052
879	7651	1043
880	7657	1034
881	7662	1025
882	7668	1016
883	7674	1007
884	7680	997
885	7685	988
886	7690	979
887	7695	970
888	7700	961
889	7706	952
890	7711	943
891	7717	934
892	7721	925
893	7727	916
894	7732	907
895	7737	898
896	7743	889
897	7748	880
898	7754	871
899	7759	862
900	7765	853
901	7771	844
902	7776	835
903	7782	826
904	7787	817
905	7793	808
906	7798	799
907	7804	790
908	7809	781
909	7815	772
910	7821	764
911	7826	755
912	7832	746
913	7837	737
914	7843	728
915	7848	719
916	7854	710
917	7859	702
918	7866	693
919	7871	684
920	7877	675
921	7882	666
922	7888	658
923	7893	649
924	7899	640
925	7905	631
926	7911	623
927	7917	614
928	7922	605
929	7928	596
930	7934	588
931	7940	579
932	7945	570
933	7952	561
934	7958	553
935	7966	544
936	7972	536
937	7977	527
938	7984	518
939	7990	510
940	7996	501
941	8002	492
942	8008	484
943	8013	475
944	8019	466
945	8024	458
946	8031	449
947	8037	440
948	8042	432
949	8051	423
950	8058	415
951	8070	406
952	8079	398
953	8090	390
954	8104	381
955	8116	373
956	8136	365
957	8169	358
958	8187	350
959	8204	341
960	8220	333
961	8234	325
962	8245	316
963	8259	308
964	8274	300
965	8287	291
966	8301	283
967	8314	274
968	8322	266
969	8331	257
970	8339	249
971	8347	240
972	8353	231
973	8362	223
974	8369	214
975	8376	205
976	8383	197
977	8391	188
978	8397	180
979	8402	171
980	8407	162
981	8412	154
982	8418	145
983	8423	136
984	8429	128
985	8434	119
986	8440	111
987	8445	102
988	8450	93
989	8455	85
990	8461	76
991	8468	68
992	8476	59
993	8481	51
994	8492	42
995	8505	34
996	8516	25
997	8532	17
998	8553	8
999	8585	0
